league,outcome,odds_bucket,edge_bucket,draw_risk_bucket,n,model_logloss,market_logloss,model_minus_market_logloss,avg_p_model,actual_win_rate,avg_p_market,calibration_gap,avg_edge,avg_ev,avg_odds,roi,profit,hit_rate,clv,status
39,Home,3.20-4.00,<-0.02,0.30-0.34,4,1.2030603978240166,1.0759454831474369,0.12711491467657976,0.217142244375931,0.75,0.26312151186992827,-0.532857755624069,-0.04597926749399724,-0.223377971299555,3.6015,1.7015000000000002,6.806000000000001,0.75,,BLOCKED
61,Home,2.40-3.20,0.08-0.12,0.30-0.34,2,0.7870526617030131,1.0387542492865323,-0.2517015875835191,0.4558149953386703,1.0,0.3540537723252217,-0.5441850046613297,0.10176122301344859,0.2157805389377906,2.6719999999999997,1.672,3.344,1.0,,BLOCKED
78,Away,2.40-3.20,0.02-0.05,0.26-0.30,1,0.9043002399928777,1.0336754941572355,-0.1293752541643578,0.4048250664033388,1.0,0.3556971920692171,-0.5951749335966612,0.04912787433412169,0.07602502650007481,2.6580000000000004,1.6580000000000004,1.6580000000000004,1.0,,BLOCKED
135,Home,2.40-3.20,0.05-0.08,0.30-0.34,1,0.8910722291121274,1.0257275677366244,-0.13465533862449708,0.41021567167521567,1.0,0.35853551161599795,-0.5897843283247843,0.05168016005921772,0.08625109859597124,2.648,1.6480000000000001,1.6480000000000001,1.0,,BLOCKED
140,Away,2.40-3.20,0.12+,0.30-0.34,1,0.6360541102780244,0.9973078388295071,-0.36125372855148274,0.5293771721877262,1.0,0.36887116626129635,-0.4706228278122738,0.16050600592642983,0.37214563031058634,2.592,1.592,1.592,1.0,,BLOCKED
61,Away,4.00+,<-0.02,<=0.22,8,0.7258495902879367,0.6472252382024156,0.0786243520855211,0.049541349392317836,0.25,0.08204335475827762,-0.20045865060768217,-0.03250200536595978,-0.4320536038530059,12.330000000000002,1.5100000000000002,12.080000000000002,0.25,,BLOCKED
61,Home,3.20-4.00,-0.02-0.02,0.30-0.34,3,1.0228309586126512,1.0004681488080065,0.022362809804644668,0.2629742225592066,0.6666666666666666,0.2599426505748352,-0.40369244410746,0.003031571984371456,-0.041690236203338706,3.6460000000000004,1.436,4.308,0.6666666666666666,,BLOCKED
39,Home,2.40-3.20,<-0.02,0.34+,1,0.9982702585075828,0.943081507804263,0.055188750703319744,0.3685163281711811,1.0,0.3894259653722213,-0.6314836718288189,-0.02090963720104022,-0.10229422457500292,2.436,1.436,1.436,1.0,,BLOCKED
140,Home,4.00+,-0.02-0.02,0.30-0.34,4,0.9160089006455086,0.9167064408427783,-0.0006975401972697526,0.2175414827152361,0.5,0.21766945535682106,-0.2824585172847639,-0.00012797264158494887,-0.03557811102271269,4.4475,1.3325,5.33,0.5,,BLOCKED
140,Home,2.00-2.40,0.02-0.05,0.30-0.34,1,0.7799429995082294,0.8773494601886521,-0.09740646068042269,0.4584321414180061,1.0,0.41588376859009846,-0.5415678585819939,0.04254837282790763,0.045225282433053904,2.28,1.2799999999999998,1.2799999999999998,1.0,,BLOCKED
135,Away,2.00-2.40,-0.02-0.02,0.34+,1,0.8470905183057015,0.8658953573357431,-0.018804839030041598,0.4286602986764388,1.0,0.42067472975168707,-0.5713397013235613,0.007985568924751718,-0.029513083796542494,2.2640000000000002,1.2640000000000002,1.2640000000000002,1.0,,BLOCKED
140,Home,2.00-2.40,0.08-0.12,0.30-0.34,2,0.6549130256635556,0.840125840449196,-0.18521281478564044,0.5199588311923173,1.0,0.43213303126567915,-0.48004116880768266,0.08782579992663822,0.17006032919463587,2.2560000000000002,1.256,2.512,1.0,,BLOCKED
78,Draw,4.00+,0.05-0.08,0.34+,2,0.8355450194535967,0.8961571063231419,-0.06061208686954522,0.27960318572418935,0.5,0.21781597212568726,-0.22039681427581065,0.0617872135985021,0.23087338408839708,4.406000000000001,1.242,2.484,0.5,,BLOCKED
140,Home,2.00-2.40,0.05-0.08,0.30-0.34,2,0.730786852352868,0.8591886188936457,-0.12840176654077773,0.4818096353516832,1.0,0.4241506054701486,-0.5181903646483168,0.05765902988153457,0.07741516575540919,2.2399999999999998,1.2399999999999998,2.4799999999999995,1.0,,BLOCKED
135,Away,2.00-2.40,<-0.02,0.34+,2,0.9487816847993472,0.8599390917437251,0.08884259305562214,0.3873430100769524,1.0,0.4232460947847053,-0.6126569899230476,-0.035903084707752914,-0.13426300480513398,2.2359999999999998,1.236,2.472,1.0,,BLOCKED
78,Away,2.00-2.40,-0.02-0.02,0.34+,2,0.8528365297183795,0.8469187826861997,0.005917747032179843,0.42666861108163884,1.0,0.42874456492534657,-0.5733313889183611,-0.002075953843707734,-0.05563429857008251,2.2140000000000004,1.2140000000000002,2.4280000000000004,1.0,,BLOCKED
78,Away,2.00-2.40,0.12+,0.26-0.30,4,0.5425391121737684,0.8407461173240479,-0.29820700515027954,0.5829431399199274,1.0,0.43153435754664454,-0.4170568600800726,0.15140878237328284,0.2872312512266017,2.212,1.2120000000000002,4.848000000000001,1.0,,BLOCKED
39,Home,2.00-2.40,0.05-0.08,0.30-0.34,5,0.6902916910812678,0.838285155418221,-0.14799346433695326,0.5017171339839454,1.0,0.43279369776582116,-0.49828286601605465,0.06892343621812433,0.10472191947695353,2.2041999999999997,1.2042000000000002,6.021000000000001,1.0,,BLOCKED
78,Away,2.00-2.40,0.05-0.08,0.34+,1,0.7193476236359666,0.8388589917413389,-0.11951136810537233,0.4870699052290717,1.0,0.4322033898305085,-0.5129300947709283,0.05486651539856319,0.07155379150395769,2.2,1.2000000000000002,1.2000000000000002,1.0,,BLOCKED
39,Away,2.00-2.40,0.08-0.12,0.26-0.30,1,0.6088338652612025,0.8247343363719831,-0.2159004711107806,0.5439848589852675,1.0,0.4383514310290323,-0.4560151410147325,0.1056334279562352,0.17065541653629568,2.152,1.1520000000000001,1.1520000000000001,1.0,,BLOCKED
140,Away,2.00-2.40,0.05-0.08,0.34+,1,0.6792272573312126,0.8122431677319574,-0.13301591040074479,0.5070086282297065,1.0,0.44386129334582947,-0.4929913717702935,0.06314733488387703,0.09006855069386899,2.15,1.15,1.15,1.0,,BLOCKED
140,Home,4.00+,-0.02-0.02,0.26-0.30,6,0.757863065387684,0.7657582868582451,-0.007895221470561098,0.1657788678285652,0.3333333333333333,0.1723078987044453,-0.1675544655047681,-0.006529030875880072,-0.0765939791544847,5.664999999999999,1.1433333333333333,6.859999999999999,0.3333333333333333,,BLOCKED
78,Home,2.00-2.40,0.08-0.12,0.26-0.30,1,0.5578359763606155,0.7761585672444105,-0.2183225908837949,0.5724465122168608,1.0,0.4601703337658394,-0.4275534877831392,0.11227617845102145,0.22503553614408234,2.14,1.1400000000000001,1.1400000000000001,1.0,,BLOCKED
39,Away,4.00+,<-0.02,0.34+,21,0.9439972729301574,0.8585649472588026,0.08543232567135484,0.1653209202831119,0.47619047619047616,0.21372318768087512,-0.31086955590736426,-0.048402267397763245,-0.26418454057284296,4.48447619047619,1.118857142857143,23.496000000000002,0.47619047619047616,,BLOCKED
78,Home,2.00-2.40,0.08-0.12,0.30-0.34,3,0.6013234472799379,0.7949932692906079,-0.19366982201066996,0.5486003296112236,1.0,0.4518790441637242,-0.4513996703887764,0.09672128544749942,0.15502160933992917,2.1086666666666667,1.1086666666666665,3.3259999999999996,1.0,,BLOCKED
39,Draw,4.00+,<-0.02,0.34+,6,0.9280274207803546,0.8716634691966313,0.056363951583723315,0.19794530411506558,0.5,0.22923015565809166,-0.3020546958849344,-0.03128485154302608,-0.17902700699176335,4.150666666666666,1.1033333333333333,6.62,0.5,,BLOCKED
